episode_id,seed,task_id,step,day,hour,weather,battery_level,solar_output,wind_output,generation,grid_price,home_demand,rule_action,rule_action_name,rule_reward,optimal_action,optimal_action_name,optimal_reward,reward_gap
3,0,3,78,4,5,stormy,100,0.0,8.86,8.86,2.54,4.55,1,DISTRIBUTE,-0.0862,1,DISTRIBUTE,-0.0862,0.0
3,0,3,79,4,6,stormy,100,0.0,8.55,8.55,6.38,6.2,1,DISTRIBUTE,-0.047,1,DISTRIBUTE,-0.047,0.0
3,0,3,80,4,7,stormy,100,0.0,9.07,9.07,6.34,11.05,1,DISTRIBUTE,-0.594,1,DISTRIBUTE,-0.594,0.0
3,0,3,81,4,8,stormy,100,0.0,8.73,8.73,6.17,12.69,1,DISTRIBUTE,-1.188,1,DISTRIBUTE,-1.188,0.0
3,0,3,82,4,9,stormy,100,0.0,13.02,13.02,6.08,12.9,1,DISTRIBUTE,-0.0024,1,DISTRIBUTE,-0.0024,0.0
3,0,3,83,4,10,stormy,100,0.0,12.79,12.79,5.27,6.07,1,DISTRIBUTE,-0.1344,1,DISTRIBUTE,-0.1344,0.0
3,0,3,84,4,11,stormy,100,0.0,11.07,11.07,4.61,7.43,1,DISTRIBUTE,-0.0728,1,DISTRIBUTE,-0.0728,0.0
3,0,3,85,4,12,stormy,100,0.0,12.49,12.49,4.56,7.87,1,DISTRIBUTE,-0.0924,1,DISTRIBUTE,-0.0924,0.0
3,0,3,86,4,13,stormy,100,0.0,9.95,9.95,5.33,7.13,1,DISTRIBUTE,-0.0564,1,DISTRIBUTE,-0.0564,0.0
3,0,3,87,4,14,stormy,100,0.0,9.45,9.45,4.75,6.36,1,DISTRIBUTE,-0.0618,1,DISTRIBUTE,-0.0618,0.0
3,0,3,88,4,15,stormy,100,0.0,11.7,11.7,4.89,7.51,1,DISTRIBUTE,-0.0838,1,DISTRIBUTE,-0.0838,0.0
3,0,3,89,4,16,stormy,100,0.0,10.2,10.2,4.85,6.79,1,DISTRIBUTE,-0.0682,1,DISTRIBUTE,-0.0682,0.0
3,0,3,90,4,17,stormy,100,0.0,10.51,10.51,12.0,6.17,2,SELL,1.2612,1,DISTRIBUTE,-0.0868,-1.348
3,0,3,91,4,18,stormy,100,0.0,13.84,13.84,12.25,11.83,2,SELL,1.6954,1,DISTRIBUTE,-0.0402,-1.7356
3,0,3,92,4,19,stormy,100,0.0,8.96,8.96,12.26,12.38,2,SELL,1.0985,1,DISTRIBUTE,-1.026,-2.1245
3,0,3,93,4,20,stormy,100,0.0,12.04,12.04,11.98,12.03,2,SELL,1.4424,1,DISTRIBUTE,-0.0002,-1.4426
3,0,3,94,4,21,stormy,100,0.0,11.86,11.86,6.65,12.79,1,DISTRIBUTE,-0.279,1,DISTRIBUTE,-0.279,0.0
3,0,3,95,4,22,stormy,100,0.0,8.58,8.58,7.42,7.5,1,DISTRIBUTE,-0.0216,1,DISTRIBUTE,-0.0216,0.0
3,0,3,96,4,23,stormy,100,0.0,11.1,11.1,7.22,6.89,1,DISTRIBUTE,-0.0842,1,DISTRIBUTE,-0.0842,0.0
3,0,3,97,5,0,stormy,100,0.0,9.12,9.12,2.7,3.53,1,DISTRIBUTE,-0.1118,1,DISTRIBUTE,-0.1118,0.0
3,0,3,98,5,1,stormy,100,0.0,11.51,11.51,2.73,3.63,1,DISTRIBUTE,-0.1576,1,DISTRIBUTE,-0.1576,0.0
3,0,3,99,5,2,stormy,100,0.0,12.15,12.15,2.8,4.91,1,DISTRIBUTE,-0.1448,1,DISTRIBUTE,-0.1448,0.0
3,0,3,100,5,3,stormy,100,0.0,12.23,12.23,3.35,3.83,1,DISTRIBUTE,-0.168,1,DISTRIBUTE,-0.168,0.0
3,0,3,101,5,4,stormy,100,0.0,11.51,11.51,2.72,3.53,1,DISTRIBUTE,-0.1596,1,DISTRIBUTE,-0.1596,0.0
3,0,3,102,5,5,stormy,100,0.0,8.14,8.14,2.88,3.96,1,DISTRIBUTE,-0.0836,1,DISTRIBUTE,-0.0836,0.0
3,0,3,103,5,6,stormy,100,0.0,9.03,9.03,5.82,6.72,1,DISTRIBUTE,-0.0462,1,DISTRIBUTE,-0.0462,0.0
3,0,3,104,5,7,stormy,100,0.0,12.65,12.65,6.49,11.29,1,DISTRIBUTE,-0.0272,1,DISTRIBUTE,-0.0272,0.0
3,0,3,105,5,8,stormy,100,0.0,10.88,10.88,5.97,12.2,1,DISTRIBUTE,-0.396,1,DISTRIBUTE,-0.396,0.0
3,0,3,106,5,9,stormy,100,0.0,13.01,13.01,6.06,12.64,1,DISTRIBUTE,-0.0074,1,DISTRIBUTE,-0.0074,0.0
3,0,3,107,5,10,stormy,100,0.0,10.89,10.89,5.36,7.44,1,DISTRIBUTE,-0.069,1,DISTRIBUTE,-0.069,0.0
3,0,3,108,5,11,stormy,100,0.0,10.4,10.4,5.46,7.47,1,DISTRIBUTE,-0.0586,1,DISTRIBUTE,-0.0586,0.0
3,0,3,109,5,12,stormy,100,0.0,10.8,10.8,4.73,6.46,1,DISTRIBUTE,-0.0868,1,DISTRIBUTE,-0.0868,0.0
3,0,3,110,5,13,stormy,100,0.0,12.31,12.31,5.46,7.35,1,DISTRIBUTE,-0.0992,1,DISTRIBUTE,-0.0992,0.0
3,0,3,111,5,14,stormy,100,0.0,13.12,13.12,4.69,6.48,1,DISTRIBUTE,-0.1328,1,DISTRIBUTE,-0.1328,0.0
3,0,3,112,5,15,stormy,100,0.0,9.55,9.55,5.2,6.37,1,DISTRIBUTE,-0.0636,1,DISTRIBUTE,-0.0636,0.0
3,0,3,113,5,16,stormy,100,0.0,13.15,13.15,4.76,7.8,1,DISTRIBUTE,-0.107,1,DISTRIBUTE,-0.107,0.0
3,0,3,114,5,17,stormy,100,0.0,13.19,13.19,11.92,6.63,2,SELL,1.5722,1,DISTRIBUTE,-0.1312,-1.7034
3,0,3,115,5,18,stormy,100,0.0,12.37,12.37,11.59,11.17,2,SELL,1.4337,1,DISTRIBUTE,-0.024,-1.4577
3,0,3,116,5,19,stormy,100,0.0,13.0,13.0,11.86,11.58,2,SELL,1.5418,1,DISTRIBUTE,-0.0284,-1.5702
3,0,3,117,5,20,stormy,100,0.0,11.48,11.48,11.51,12.35,2,SELL,1.3213,1,DISTRIBUTE,-0.261,-1.5823
3,0,3,118,5,21,stormy,100,0.0,10.01,10.01,6.99,11.87,1,DISTRIBUTE,-0.558,1,DISTRIBUTE,-0.558,0.0
3,0,3,119,5,22,stormy,100,0.0,9.26,9.26,7.46,7.17,1,DISTRIBUTE,-0.0418,1,DISTRIBUTE,-0.0418,0.0
3,0,3,120,5,23,stormy,100,0.0,10.35,10.35,6.62,7.09,1,DISTRIBUTE,-0.0652,1,DISTRIBUTE,-0.0652,0.0
3,0,3,121,6,0,sunny,100,0.14,4.66,4.8,7.89,3.23,0,STORE,-0.24,0,STORE,-0.24,0.0
3,0,3,122,6,1,sunny,100,0.45,2.39,2.84,7.37,4.88,1,DISTRIBUTE,-0.612,1,DISTRIBUTE,-0.612,0.0
3,0,3,123,6,2,sunny,100,0.39,5.03,5.42,7.68,3.59,0,STORE,-0.271,0,STORE,-0.271,0.0
3,0,3,124,6,3,sunny,100,0.33,5.22,5.55,7.75,3.53,0,STORE,-0.2775,0,STORE,-0.2775,0.0
3,0,3,125,6,4,sunny,100,0.48,4.69,5.17,7.11,4.07,0,STORE,-0.2585,0,STORE,-0.2585,0.0
3,0,3,126,6,5,sunny,100,0.25,3.41,3.66,7.68,4.44,1,DISTRIBUTE,-0.234,1,DISTRIBUTE,-0.234,0.0
3,0,3,127,6,6,sunny,100,0.28,2.73,3.01,15.13,7.29,2,SELL,0.4554,2,SELL,0.4554,0.0
3,0,3,128,6,7,sunny,92.71,3.97,5.56,9.53,14.62,12.31,2,SELL,1.3933,2,SELL,1.3933,0.0
3,0,3,129,6,8,sunny,80.4,7.97,2.57,10.54,15.22,11.66,2,SELL,1.6042,2,SELL,1.6042,0.0
3,0,3,130,6,9,sunny,68.74,10.91,4.22,15.13,14.96,12.29,2,SELL,2.2834,2,SELL,2.2834,0.0
3,0,3,131,6,10,sunny,56.45,13.15,2.71,15.86,12.72,6.14,2,SELL,2.0374,2,SELL,2.0374,0.0
3,0,3,132,6,11,sunny,50.31,14.87,4.17,19.04,12.36,7.48,2,SELL,2.3733,2,SELL,2.3733,0.0
3,0,3,133,6,12,sunny,42.83,15.13,3.53,18.66,12.04,7.75,2,SELL,2.2667,2,SELL,2.2667,0.0
3,0,3,134,6,13,sunny,35.08,14.74,2.99,17.73,12.35,7.54,2,SELL,2.2097,2,SELL,2.2097,0.0
3,0,3,135,6,14,sunny,27.54,13.16,3.61,16.77,12.77,7.08,2,SELL,2.1415,2,SELL,2.1415,0.0
